id,name,scenario_id,status,total_rounds,current_round,random_seed,prompt_version,model_used,created_at,completed_at
f4f1a11bd8974aa1ba79c064f5ac1802,nonexistent,nonexistent,pending,4,0,42,v0,qwen/qwen3.5-9b,"2026-03-31 08:09:09",
3aa3616f94b24f5a95e23bc3c970f5c2,psle_reform_mvp,psle_reform_mvp,completed,4,4,42,v0,qwen/qwen3.5-9b,"2026-03-31 08:07:38","2026-03-31 08:08:44"
949ea5b0ccda471cbc018971d33d35bf,psle_reform_mvp,psle_reform_mvp,completed,3,3,42,v0,qwen/qwen3.5-9b,"2026-03-30 09:52:07","2026-03-30 09:54:15"
d7dfee493a9b4ade8133ef1d2f42ce4a,psle_reform_mvp,psle_reform_mvp,completed,3,3,42,v0,qwen/qwen3.5-9b,"2026-03-30 09:49:26","2026-03-30 09:51:35"
86441787d5364abc8805ee73f2b31392,psle_reform_mvp,psle_reform_mvp,completed,3,3,42,v0,qwen/qwen3.5-9b,"2026-03-30 09:47:26","2026-03-30 09:54:47"
0a469945293c4717b8ae0e79a5563891,psle_reform_mvp,psle_reform_mvp,completed,3,3,42,v0,qwen/qwen3.5-9b,"2026-03-30 09:45:14","2026-03-30 10:03:14"
761f982b751648d0b6aebb27bda2acd0,psle_reform_mvp,psle_reform_mvp,completed,3,3,42,v0,qwen/qwen3.5-9b,"2026-03-30 09:44:30","2026-03-30 10:02:31"
